material,grade,category,UTS_MPa,yield_MPa,tau_factor,tau_MPa,density_g_cm3,elongation_pct,clearance_double_pct_soft,clearance_double_pct_hard,min_bend_radius_t,strip_pct,eject_pct,bending_c,data_source,notes
T2,Copper,铜(软退火),210,55,0.70,147,8.94,45,4,8,0.1,0.05,0.04,1.18,参考值,"紫铜软态，延展极好，导电导热；冲压用主材（铜排/端子）。R_min为横纹(⊥纤维)值"
T2_1/2H,Copper,铜(半硬),300,250,0.70,210,8.94,25,5,9,0.5,0.05,0.04,1.20,参考值,"T2半硬，屈服较软态翻倍，回弹增大，R_min放大"
T2_H,Copper,铜(硬),400,350,0.70,280,8.94,15,6,10,1.5,0.06,0.05,1.25,参考值,"T2硬态，难成形，弯曲力系数抬高，需过弯补偿"
TU2,OxygenFreeCopper,铜(无氧,软),215,60,0.70,151,8.94,45,4,8,0.1,0.05,0.04,1.18,参考值,"无氧铜，导电略优于T2，用于高要求导体"
H62,Brass,黄铜(软),330,120,0.70,231,8.43,40,5,9,0.3,0.05,0.04,1.18,参考值,"黄铜，弹片/装饰件"
C5191,PhosphorBronze,磷青铜(1/2H),540,470,0.70,378,8.80,12,6,10,1.5,0.06,0.05,1.25,参考值,"磷青铜弹片/连接器，回弹大需过弯补偿"
304,Stainless,不锈钢(2B退火软),520,205,0.72,374,7.93,45,6,10,1.0,0.07,0.05,1.48,参考值,"304 2B软态，加工硬化强，硬态间隙放大。R_min为横纹值"
304_1/2H,Stainless,不锈钢(1/2H硬),750,450,0.72,540,7.93,20,8,12,2.0,0.08,0.06,1.55,参考值,"304半硬，屈服翻倍，回弹极大，R_min需比软态放大一倍"
301,Stainless,不锈钢(1/2H弹片),780,510,0.72,562,7.93,15,8,12,2.5,0.08,0.06,1.55,参考值,"301弹片料，硬度高、难成形，间隙/回弹需放大"
SPCC,ColdRolledSteel,冷轧低碳钢,320,200,0.80,256,7.85,38,6,10,0.5,0.08,0.05,1.33,参考值,"SPCC/DC01通用钢板，结构件主力"
SECC,GalvanizedSteel,镀锌钢板,320,200,0.80,256,7.85,35,6,10,0.5,0.08,0.05,1.33,参考值,"电镀锌SECC/热镀锌SGCC，涂层侧间隙略放大"
1050,Aluminum,铝(软),110,40,0.70,77,2.70,30,4,8,0.0,0.04,0.03,1.18,参考值,"1050/1060软铝，电池壳/软连接，可近0t弯曲（横纹）"
3003,Aluminum,铝(防锈),160,110,0.70,112,2.73,25,4,8,0.2,0.04,0.03,1.18,参考值,"3003铝，强度略高于1050"
5052,Aluminum,铝(中强),230,90,0.70,161,2.68,30,5,9,0.4,0.04,0.03,1.20,参考值,"5052铝，结构件常用，焊接性好；屈服高于1060"
6061,Aluminum,铝(热处理T6),310,276,0.70,217,2.70,12,6,10,1.0,0.05,0.04,1.22,参考值,"6061-T6，强度高但成形性差，回弹大"
Silicon,ElectricalSteel,硅钢(定转子),470,360,0.75,353,7.65,15,5,9,1.0,0.05,0.04,1.33,参考值,"50W470/600硅钢，薄料(0.35~0.5mm)，要求毛刺极小、间隙从严"
DP590,HighStrengthSteel,高强钢(DP),590,340,0.78,460,7.85,22,8,12,2.0,0.08,0.06,1.38,参考值,"DP590等高强钢，力大、磨损快，需耐磨凹模"
